,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,MSM_WC_CoreC_T6_B,0.254835232,5.032783414,220.652
2,MSM_WC_CoreC_T6_A,0.103262678,3.305713511,90.646
3,MSM_WC_CoreC_T5_B,0.162029365,5.085918347,143.112
4,MSM_WC_CoreC_T5_A,0.137249485,3.916639004,110.641
5,MSM_WC_CoreC_T4_B,0.156674319,5.125550479,126.132
6,MSM_WC_CoreC_T4_A,0.117346239,2.734368257,97.393
7,MSM_WC_CoreC_T3_B,0.125945266,3.836813784,97.286
8,MSM_WC_CoreC_T3_A,0.17848209,4.315065887,135.839
9,MSM_WC_CoreC_T2_B,0.067824834,2.149737654,55.044
10,MSM_WC_CoreC_T2_A,0.088973324,3.663301059,53.232
11,MSM_WC_CoreC_T1_B,0.049125788,1.165900507,30.027
12,MSM_WC_CoreC_T1_A,0.102440008,3.159642006,92.324
13,MSM_WC_CoreC_T0_B,-0.000892044,0.182642988,-0.301
14,MSM_WC_CoreC_T0_A,0.001793467,0.209016706,1.149
15,MSM_WC_CoreB_T6_B,0.369332032,11.28994067,316.195
16,MSM_WC_CoreB_T6_A,0.253137896,10.37323344,216.898
17,MSM_WC_CoreB_T5_B,0.303422331,8.619589966,251.278
18,MSM_WC_CoreB_T5_A,0.379760729,11.32970909,312.904
19,MSM_WC_CoreB_T4_B,0.404678597,10.36005439,352.885
20,MSM_WC_CoreB_T4_A,0.269250113,10.25378219,241.182
21,MSM_WC_CoreB_T3_B,0.217901254,8.32734622,185.836
22,MSM_WC_CoreB_T3_A,0.238991319,8.194702457,221.872
23,MSM_WC_CoreB_T2_B,0.188175155,6.758689928,111.052
24,MSM_WC_CoreB_T2_A,0.241633998,9.908281052,209.04
25,MSM_WC_CoreB_T1_B,0.302446401,10.7985009,273.919
26,MSM_WC_CoreB_T1_A,0.193909021,1.047203423,157.363
27,MSM_WC_CoreB_T0_B,0.000113004,0.130382168,0.272
28,MSM_WC_CoreB_T0_A,0.068721366,0.555812495,60.056
29,MSM_WC_CoreA_T6_B,0.095257746,1.086929826,74.1
30,MSM_WC_CoreA_T6_A,0.087634662,0.927285312,62.317
31,MSM_WC_CoreA_T5_B,0.096691958,1.073771608,79.292
32,MSM_WC_CoreA_T5_A,0.119012664,1.445581464,91.102
33,MSM_WC_CoreA_T4_B,0.050583046,0.608211579,33.154
34,MSM_WC_CoreA_T4_A,0.053095792,0.675130148,42.005
35,MSM_WC_CoreA_T3_B,0.064988475,0.648393174,47.818
36,MSM_WC_CoreA_T3_A,0.011128061,0.236826748,9.337
37,MSM_WC_CoreA_T2_B,0.008343109,0.196964775,7.008
38,MSM_WC_CoreA_T2_A,0.008000252,0.210107371,6.361
39,MSM_WC_CoreA_T1_B,0.050613901,1.711215906,39.343
40,MSM_WC_CoreA_T1_A,0.052140023,0.501213227,27.254
41,MSM_WC_CoreA_T0_B,5.74E-05,0.117298288,0.23
42,MSM_WC_CoreA_T0_A,9.87E-05,0.117188396,0.251
43,MSM_TR_CoreB_T0_A,0.180837848,0.489174403,142.315
