,Analysis_No,Date,Site,Zone,Replicate,Depth,Tree,Sample_ID,SO4_ppm,Cl_ppm,SO4_mM,Cl_mM,salinity
34,3,202209,MSM,UP,LysB,10cm,3,3_202209_MSM_UP_LysB_10cm,111.5232,787.0968,3.478577667,22.20301269,1.422309918
67,6,202209,MSM,TR,LysC,10cm,6,6_202209_MSM_TR_LysC_10cm,103.6062,1078.225,3.231634435,30.41537377,1.948378575
100,9,202209,MSM,TR,LysA,10cm,9,9_202209_MSM_TR_LysA_10cm,477.6392,5716.5885,14.8982907,161.2577856,10.32990142
15,12,202209,MSM,TR,LysB,10cm,12,12_202209_MSM_TR_LysB_10cm,554.2428,5302.4598,17.28767311,149.5757348,9.581570859
17,14,202209,MSM,TR,LysC,10cm,14,14_202209_MSM_TR_LysC_10cm,528.2071,5217.3394,16.47558016,147.1745952,9.427758296
20,17,202209,MSM,WC,SipA,10cm,17,17_202209_MSM_WC_SipA_10cm,903.4437,8155.9469,28.17977854,230.069024,14.73782205
24,20,202209,MSM,WC,SipB,10cm,20,20_202209_MSM_WC_SipB_10cm,860.1581,9655.1847,26.82963506,272.3606403,17.44694475
27,23,202209,MSM,WC,SipC,10cm,23,23_202209_MSM_WC_SipC_10cm,809.9642,8554.1584,25.26401123,241.3020705,15.45739023
37,32,202209,GWI,UP,LysB,10cm,32,32_202209_GWI_UP_LysB_10cm,617.3104,5109.0418,19.25484716,144.1196559,9.232064533
40,35,202209,GWI,UP,LysC,10cm,35,35_202209_GWI_UP_LysC_10cm,972.9317,8451.7001,30.3472146,238.4118505,15.27224808
42,37,202209,GWI,TR,LysA,10cm,37,37_202209_GWI_TR_LysA_10cm,1157.2521,9359.8905,36.09644729,264.0307616,16.91334813
46,40,202209,GWI,TR,LysB,10cm,40,40_202209_GWI_TR_LysB_10cm,1698.7295,12719.2675,52.98594822,358.7945698,22.98374237
49,43,202209,GWI,TR,LysC,10cm,43,43_202209_GWI_TR_LysC_10cm,1711.1247,12677.0072,53.3725733,357.6024598,22.90737801
52,46,202209,GWI,WC,SipA,10cm,46,46_202209_GWI_WC_SipA_10cm,2289.9622,13888.7228,71.42739239,391.7834358,25.0969481
55,49,202209,GWI,WC,SipB,10cm,49,49_202209_GWI_WC_SipB_10cm,1925.9192,13905.9219,60.07233936,392.2686008,25.12802687
59,52,202209,GWI,WC,SipC,10cm,52,52_202209_GWI_WC_SipC_10cm,2268.2926,13645.0836,70.75148472,384.9106798,24.65669207
69,61,202209,GCrew,TR,LysB,10cm,61,61_202209_GCrew_TR_LysB_10cm,87.6693,856.2971,2.734538366,24.15506629,1.54735486
72,64,202209,GCrew,TR,LysC,10cm,64,64_202209_GCrew_TR_LysC_10cm,27.2237,41.778,0.849148472,1.178504937,0.075518846
75,67,202209,GCrew,WC,SipA,10cm,67,67_202209_GCrew_WC_SipA_10cm,859.1732,7084.9499,26.79891454,199.857543,12.80253047
79,70,202209,GCrew,WC,SipB,10cm,70,70_202209_GCrew_WC_SipB_10cm,513.2206,5952.1023,16.00812851,167.9013343,10.75547486
82,73,202209,GCrew,WC,SipC,10cm,73,73_202209_GCrew_WC_SipC_10cm,669.4286,7459.0636,20.88049283,210.4108209,13.47855393
65,58,202209,GCrew,UP,LysA,20cm,58,58_202209_GCrew_UP_LysA_20cm,6.3756,2.7097,0.198864629,0.076437236,0.004922428
