,Analysis_No,Experiment,Site,Zone,Replicate,Sample_ID,SO4_ppm,SO4_Area,Cl_ppm,Cl_Area,SO4_mM,Cl_mM,salinity
1,1,NCycle,GCReW,UP,A,1_NCycle_GCReW_UP_A,0.6769,0.0111,3.9267,0.0846,0.021113537,0.110767278,0.007121547
2,10,NCycle,MSM,UP,A,10_NCycle_MSM_UP_A,12.0633,0.1975,146.6534,3.1581,0.376272614,4.136908322,0.265028694
3,11,NCycle,MSM,UP,B,11_NCycle_MSM_UP_B,0.6222,0.0102,85.2788,1.8364,0.019407361,2.405607898,0.154124792
4,12,NCycle,MSM,UP,C,12_NCycle_MSM_UP_C,8.2976,0.1358,119.2832,2.5687,0.258814722,3.364829337,0.215570742
5,13,NCycle,MSM,TR,A,13_NCycle_MSM_TR_A,157.9716,2.5862,1004.8234,21.6385,4.927373674,28.34480677,1.815741884
6,14,NCycle,MSM,TR,B,14_NCycle_MSM_TR_B,116.6394,1.9095,947.5165,20.4044,3.638159701,26.72825106,1.712188316
7,15,NCycle,MSM,TR,C,15_NCycle_MSM_TR_C,96.0182,1.5719,801.6473,17.2631,2.994953213,22.61346403,1.448602671
8,16,NCycle,MSM,WC,A,16_NCycle_MSM_WC_A,238.9865,1.9562,1566.7825,16.87,7.454351216,44.19696756,2.831201978
9,17,NCycle,MSM,WC,B,17_NCycle_MSM_WC_B,223.3345,1.8281,1573.1928,16.939,6.966141609,44.37779408,2.84278539
10,18,NCycle,MSM,WC,C,18_NCycle_MSM_WC_C,236.8549,1.9388,1638.3726,17.6408,7.387863381,46.21643441,2.960565288
11,19,NCycle,GWI,UP,A,19_NCycle_GWI_UP_A,40.3239,0.3301,406.7993,4.3801,1.257763568,11.4752976,0.735112335
12,2,NCycle,GCReW,UP,B,2_NCycle_GCReW_UP_B,NA,NA,3.2605,0.0702,NA,0.091974612,0.005917724
13,20,NCycle,GWI,UP,B,20_NCycle_GWI_UP_B,63.7538,0.5219,540.2798,5.8174,1.988577667,15.24061495,0.976311599
14,21,NCycle,GWI,UP,C,21_NCycle_GWI_UP_C,76.2934,0.6245,580.4667,6.2501,2.3797068,16.37423695,1.048929327
15,22,NCycle,GWI,TR,A,22_NCycle_GWI_TR_A,219.0793,1.7933,1622.6355,17.4714,6.833415471,45.77251058,2.932128349
16,23,NCycle,GWI,TR,B,23_NCycle_GWI_TR_B,224.9506,1.8413,1621.1079,17.4549,7.016550218,45.7294189,2.929367975
17,24,NCycle,GWI,TR,C,24_NCycle_GWI_TR_C,231.9705,1.8988,1679.8886,18.0879,7.235511541,47.38754866,3.0355847
18,25,NCycle,GWI,WC,A,25_NCycle_GWI_WC_A,379.6716,1.5539,2150.5471,11.5778,11.84253275,60.66423413,3.88606461
19,26,NCycle,GWI,WC,B,26_NCycle_GWI_WC_B,142.7305,0.5842,1146.8581,6.1743,4.451980661,32.35142736,2.072398587
20,27,NCycle,GWI,WC,C,27_NCycle_GWI_WC_C,225.34,0.9223,1613.8744,8.6885,7.028696195,45.52537094,2.916297041
21,28,NCycle,SWH,UP,A,28_NCycle_SWH_UP_A,18.4868,0.3026,114.714,2.4703,0.576631316,3.235937941,0.207314198
22,29,NCycle,SWH,UP,B,29_NCycle_SWH_UP_B,12.1362,0.1987,61.2382,1.3187,0.378546475,1.72745275,0.110683427
23,3,NCycle,GCReW,UP,C,3_NCycle_GCReW_UP_C,1.3379,0.0219,17.7707,0.3827,0.041731129,0.50128914,0.032137655
24,30,NCycle,SWH,UP,C,30_NCycle_SWH_UP_C,7.1052,0.1163,8.787,0.1892,0.221621959,0.24787024,0.015904109
25,31,NCycle,SWH,TR,A,31_NCycle_SWH_TR_A,59.2368,0.9698,411.6421,8.8645,1.84768559,11.61190691,0.743863275
26,32,NCycle,SWH,TR,B,32_NCycle_SWH_TR_B,57.9172,0.9482,298.3006,6.4238,1.806525265,8.414685472,0.539055184
27,33,NCycle,SWH,TR,C,33_NCycle_SWH_TR_C,50.9825,0.8346,255.503,5.5022,1.59022146,7.2074189,0.461719921
28,34,NCycle,SWH,WC,A,34_NCycle_SWH_WC_A,132.344,2.1666,423.9041,9.1286,4.128009981,11.95780254,0.766020709
29,35,NCycle,SWH,WC,B,35_NCycle_SWH_WC_B,93.9596,1.5382,389.6586,8.3911,2.930742358,10.99177997,0.70413909
30,36,NCycle,SWH,WC,C,36_NCycle_SWH_WC_C,51.1532,0.8374,265.4217,5.7157,1.595545852,7.487212976,0.479643012
31,4,NCycle,GCReW,TR,A,4_NCycle_GCReW_TR_A,8.3927,0.1374,2.5838,0.0556,0.261781036,0.072885755,0.004694927
32,5,NCycle,GCReW,TR,B,5_NCycle_GCReW_TR_B,6.2007,0.1015,5.9238,0.1276,0.193409233,0.167102962,0.010730307
33,6,NCycle,GCReW,TR,C,6_NCycle_GCReW_TR_C,2.308,0.0378,4.1562,0.0895,0.071990019,0.117241185,0.007536253
34,7,NCycle,GCReW,WC,A,7_NCycle_GCReW_WC_A,202.9435,1.6612,1145.5178,12.3341,6.330115409,32.31361918,2.069976665
35,8,NCycle,GCReW,WC,B,8_NCycle_GCReW_WC_B,166.3026,1.3613,580.0553,6.2456,5.187230193,16.36263188,1.048185927
36,9,NCycle,GCReW,WC,C,9_NCycle_GCReW_WC_C,191.8087,1.5701,1219.6183,13.132,5.982804117,34.40390127,2.203876268
