"","Site","Zone","Replicate","Sample_Name","NH3_mgL","NH3_uM","NOx_mgL","NOx_uM","NH3_range","NOx_range"
"1","GCW","TR","A","GCW_TR_A",0.448367,32.0108947860667,0.018898,1.34921144880664,"Within_Range","bdl"
"2","GCW","TR","B","GCW_TR_B",0.645565,46.0897284870812,0.018789,1.34142945875902,"Within_Range","bdl"
"3","GCW","TR","C","GCW_TR_C",0.662604,47.3062177386536,0.014052,1.00323416650603,"Within_Range","bdl"
"4","GCW","UP","A","GCW_UP_A",0.579882,41.400329842147,0.014472,1.0332198162308,"Within_Range","bdl"
"5","GCW","UP","B","GCW_UP_B",0.814282,58.1351781647354,0.027106,1.93521671771367,"Within_Range","Within_Range"
"6","GCW","UP","C","GCW_UP_C",0.72292,51.6124426167477,0.015107,1.0785552628385,"Within_Range","bdl"
"7","GCW","WC","A","GCW_WC_A",0.677847,48.3944826404506,0.083295,5.94679689005976,"Within_Range","Within_Range"
"8","GCW","WC","B","GCW_WC_B",0.599622,42.8096553792114,0.011858,0.846594843896135,"Within_Range","bdl"
"9","GCW","WC","C","GCW_WC_C",1.33269,95.1466084088329,0.010525,0.751426103222029,"Within_Range","bdl"
"10","GWI","TR","A","GWI_TR_A",2.012135,143.655179307046,0.080496,5.74696395296537,"Within_Range","Within_Range"
"11","GWI","TR","B","GWI_TR_B",2.705371,193.148350432293,0.049279,3.51824483996944,"Within_Range","Within_Range"
"12","GWI","TR","C","GWI_TR_C",1.148077,81.9662732835,0.019037,1.35913527097746,"Within_Range","bdl"
"13","GWI","UP","A","GWI_UP_A",0.210796,15.0496548080561,0.013837,0.987884369623109,"Within_Range","bdl"
"14","GWI","UP","B","GWI_UP_B",0.213945,15.2744757865878,0.013724,0.979816801959062,"Within_Range","bdl"
"15","GWI","UP","C","GWI_UP_C",0.459243,32.7873803251301,0.013971,0.997451219773394,"Within_Range","bdl"
"16","GWI","WC","A","GWI_WC_A",2.501072,178.562545067718,0.072748,5.19380010994738,"Within_Range","Within_Range"
"17","GWI","WC","B","GWI_WC_B",1.374014,98.0969107641343,0.053935,3.8506571854898,"Within_Range","Within_Range"
"18","GWI","WC","C","GWI_WC_C",1.735562,123.90941478007,0.050502,3.60556019619182,"Within_Range","Within_Range"
"19","MSM","TR","A","MSM_TR_A",0.19691,14.0582721126318,0.011986,0.855733327621781,"Within_Range","bdl"
"20","MSM","TR","B","MSM_TR_B",0.469527,33.5216003769625,0.012607,0.900069252571983,"Within_Range","bdl"
"21","MSM","TR","C","MSM_TR_C",0.563276,40.2147543675527,0.011268,0.804472145473238,"Within_Range","bdl"
"22","MSM","UP","A","MSM_UP_A",0.057112,4.07747720733649,0.028858,2.06029971370844,"Within_Range","Within_Range"
"23","MSM","UP","B","MSM_UP_B",0.232178,16.5762099566636,0.050629,3.61462728551336,"Within_Range","Within_Range"
"24","MSM","UP","C","MSM_UP_C",0.098455,7.02913605631591,0.043532,3.10794119956878,"Within_Range","Within_Range"
"25","MSM","WC","A","MSM_WC_A",1.394788,99.5800581150449,0.01826,1.30366181898663,"Within_Range","bdl"
"26","MSM","WC","B","MSM_WC_B",0.849126,60.622844781426,0.017038,1.21641785716836,"Within_Range","bdl"
"27","MSM","WC","C","MSM_WC_C",1.01522,72.4810269371087,0.018384,1.31251472509585,"Within_Range","bdl"
"28","SWH","TR","A","SWH_TR_A",0.653988,46.6910835528711,0.011248,0.803044257391106,"Within_Range","bdl"
"29","SWH","TR","B","SWH_TR_B",0.563028,40.1970485553342,0.01244,0.88814638708618,"Within_Range","bdl"
"30","SWH","TR","C","SWH_TR_C",0.533338,38.0773486974091,0.012993,0.927627492557133,"Within_Range","bdl"
"31","SWH","UP","A","SWH_UP_A",0.731337,52.213369316113,0.019126,1.36548937294295,"Within_Range","bdl"
"32","SWH","UP","B","SWH_UP_B",0.55162,39.3825811932861,0.077182,5.51036289775607,"Within_Range","Within_Range"
"33","SWH","UP","C","SWH_UP_C",0.824966,58.8979559782104,0.015679,1.11939286198748,"Within_Range","bdl"
"34","SWH","WC","A","SWH_WC_A",0.237434,16.9514589446479,0.011303,0.806970949616969,"Within_Range","bdl"
"35","SWH","WC","B","SWH_WC_B",0.220158,15.7180492193022,0.010797,0.770845381139026,"Within_Range","bdl"
"36","SWH","WC","C","SWH_WC_C",0.425217,30.3581143309987,0.010678,0.76234944705034,"Within_Range","bdl"
