campaign,kit_id,transect_location,bulk_density_g_cm3
EC1,K004,transition,0.392857143
EC1,K004,upland,0.866298673
EC1,K004,wetland,0.28755602
EC1,K008,transition,0.13131068
EC1,K008,wetland,0.355592105
EC1,K008,upland,0.888187305
EC1,K009,transition,0.54788091
EC1,K009,upland,0.552136752
EC1,K009,wetland,0.229451062
EC1,K010,transition,0.755555556
EC1,K010,upland,0.745185185
EC1,K010,wetland,0.445787546
EC1,K011,wetland,0.401153846
EC1,K011,transition,0.70711296
EC1,K011,upland,0.866807406
EC1,K012,wetland,0.691290037
EC1,K013,transition,0.59554627
EC1,K013,upland,1.035275959
EC1,K013,wetland,0.234243629
EC1,K015,wetland,0.222115761
EC1,K015,transition,0.940350877
EC1,K015,upland,0.906875409
EC1,K016,transition,1.236332061
EC1,K016,upland,0.1456621
EC1,K016,wetland,0.274358974
EC1,K017,wetland,0.182659933
EC1,K017,transition,0.705405405
EC1,K017,upland,0.75462963
EC1,K019,wetland,1.565425457
EC1,K019,transition,1.318181818
EC1,K019,upland,0.489808712
EC1,K020,upland,0.688652482
EC1,K021,transition,0.282162162
EC1,K021,upland,0.690551181
EC1,K021,wetland,0.225879358
EC1,K022,wetland,0.382918149
EC1,K022,transition,0.226490066
EC1,K022,upland,0.724683544
EC1,K023,upland,0.428378378
EC1,K023,wetland,0.142082165
EC1,K024,transition,0.356451613
EC1,K024,upland,0.242231076
EC1,K024,wetland,0.114874142
EC1,K025,transition,0.406227106
EC1,K025,upland,0.702459016
EC1,K025,wetland,0.466068506
EC1,K026,transition,0.385221644
EC1,K026,upland,1.553636364
EC1,K026,wetland,0.584352786
EC1,K027,wetland,0.082831661
EC1,K027,transition,1.492063492
EC1,K027,upland,1.475703966
EC1,K030,upland,0.177367455
EC1,K030,wetland,0.484569288
EC1,K033,wetland,0.371818182
EC1,K033,upland,0.592752128
EC1,K034,transition,0.217248062
EC1,K034,upland,0.907432432
EC1,K034,wetland,0.329526462
EC1,K035,transition,0.272191011
EC1,K035,upland,0.872181523
EC1,K035,wetland,0.185350318
EC1,K036,transition,0.19143898
EC1,K036,upland,0.210281659
EC1,K036,wetland,0.19486653
EC1,K037,wetland,0.286027397
EC1,K038,upland,0.745901639
EC1,K038,wetland,0.276203209
EC1,K039,wetland,0.095376884
EC1,K039,transition,0.129960053
EC1,K039,upland,0.674050633
EC1,K040,upland,0.106666667
EC1,K040,wetland,0.747208122
EC1,K040,transition,0.108569665
EC1,K041,transition,0.102307633
EC1,K041,upland,0.106389537
EC1,K041,wetland,1.482113821
EC1,K042,upland,0.633567319
EC1,K042,wetland,0.215136476
EC1,K042,transition,0.186380597
EC1,K044,transition,0.157803407
EC1,K044,upland,0.547710773
EC1,K044,wetland,0.330824373
EC1,K045,transition,0.173436473
EC1,K045,upland,0.347328244
EC1,K045,wetland,0.108381503
EC1,K046,wetland,0.259586279
EC1,K046,upland,0.789303796
EC1,K047,wetland,0.052768284
EC1,K047,transition,0.862962963
EC1,K047,upland,0.346428571
EC1,K048,transition,0.353055823
EC1,K048,upland,0.6464382
EC1,K048,wetland,0.432747011
EC1,K049,transition,1.3775
EC1,K049,upland,1.736
EC1,K049,wetland,0.949425287
EC1,K050,transition,0.921686747
EC1,K050,wetland,0.2146
EC1,K051,transition,0.23253012
EC1,K051,upland,1.373728814
EC1,K051,wetland,0.79765625
EC1,K052,transition,1.651077173
EC1,K052,upland,1.449913793
EC1,K053,wetland,0.240501044
EC1,K053,transition,0.827218935
EC1,K053,upland,0.993220339
EC1,K054,transition,0.103170029
EC1,K054,upland,0.590755951
EC1,K054,wetland,0.20657946
EC1,K055,upland,0.851908397
EC1,K059,transition,0.15693565
EC1,K059,upland,0.154770533
EC1,K059,wetland,0.095922344
EC1,K060,wetland,0.489613683
EC1,K061,transition,1.142763427
EC1,K061,upland,1.130445904
EC1,K061,wetland,0.702445414
EC1,K062,transition,0.377591973
EC1,K062,upland,0.772916667
EC1,K062,wetland,0.243896714
