"","Site","Zone","Replicate","N2_Rate_g_hr"
"1","Gcrew","TR","CoreA",17.1485587965714
"2","Gcrew","TR","CoreB",23.509137171875
"3","Gcrew","TR","CoreC",12.52916724125
"4","Gcrew","UP","CoreA",0.0110550161993243
"5","Gcrew","UP","CoreB",0.0290661637331081
"6","Gcrew","UP","CoreC",0.618821777165541
"7","Gcrew","WC","CoreA",1.63425083
"8","Gcrew","WC","CoreB",0.04537914475
"9","Gcrew","WC","CoreC",2.869635598375
"10","MSM","TR","CoreA",13.915037456875
"11","MSM","TR","CoreB",26.131267526375
"12","MSM","TR","CoreC",22.094775010875
"13","MSM","UP","CoreA",4.68239016048311
"14","MSM","UP","CoreB",0.0985792111804511
"15","MSM","UP","CoreC",0.259998930639098
"16","MSM","WC","CoreA",0.045169773125
"17","MSM","WC","CoreB",4.040315927125
"18","MSM","WC","CoreC",1.374831846625
"19","GWI","TR","CoreA",15.4023019195
"20","GWI","TR","CoreB",13.76306879625
"21","GWI","TR","CoreC",7.945684032125
"22","GWI","UP","CoreA",0.33053681439527
"23","GWI","UP","CoreB",0.463518583358108
"24","GWI","UP","CoreC",0.164266515425676
"25","GWI","WC","CoreA",14.438643075375
"26","GWI","WC","CoreB",21.25416962275
"27","GWI","WC","CoreC",14.355319186625
"28","SWH","TR","CoreA",13.9322487630571
"29","SWH","TR","CoreB",11.1888283627714
"30","SWH","TR","CoreC",10.7107485049
"31","SWH","UP","CoreA",9.16630116303357
"32","SWH","UP","CoreB",8.97193651662712
"33","SWH","UP","CoreC",8.91582919757506
"34","SWH","WC","CoreA",8.35089403897143
"35","SWH","WC","CoreB",7.13390727804286
"36","SWH","WC","CoreC",3.98239549618571
